CollectionName,Barcode,ShelfLocation,CallNumber,Author,Title,Publisher,PublicationYear
Audiobook,39067201524976,,CD 155.232 EHR8361,"Ehrenreich, Barbara.",Bright-sided [how the relentless promotion of positive thinking has undermined America],"Macmillan Audio,",2009
Audiobook,39067059096085,,CD 291.435 FLORA,"Flora, Mary Ellen.",Meditation key to spiritual awakening,"CDM,",2007
Audiobook,39067202846295,,CD 294.3443 JIN8612,"Jinananda, 1952-",Meditation the Buddhist way,"Naxos AudioBooks,",2010
Audiobook,39067201843699,,CD 616.0472 KAB140,"Kabat-Zinn, Jon.",Mindfulness meditation for pain relief,"Sounds True,",2010
Audiobook,39067054211440,,CD BIO FEY FEY2136,"Fey, Tina, 1970-",Bossypants,"Hachette Audio,",2011
Audiobook,39067046390245,,CD FIC KOO134,"Koontz, Dean R. (Dean Ray), 1945-",The house of thunder,"Brilliance Audio,",2007
Audiobook,39067204049542,,CD FIC MAR234,"Martel, Yann.",Life of Pi a novel,"HighBridge,",2002
Audiobook,39067053265587,,CD FIC SIN7168,"Singh, Nalini, 1977-",Archangel's kiss,"Tantor Media,",2010
Biography,39067052982679,,BIO NABOKOV SCHIFF,"Schiff, Stacy.",Vera (Mrs. Vladimir Nabokov),"Modern Library,",2000
Biography,39067051152084,,BIO SMALL SMALL,"Small, David, 1945-",Stitches : a memoir--,"W.W. Norton & Co.,",2009
Compact Disc,39067031126323,,CD DP BAC243,"Bach, Johann Sebastian, 1685-1750.",Goldberg variations,"Sony Classical,",2000
Compact Disc,39067037365727,,CD G THR827,,Three mo' tenors,RCA Victor :,2001
Compact Disc,39067201615741,,CD K BEA2413,Beatles.,A hard day's night,"Capitol Records,",2009
Compact Disc,39067204524247,,CD M BEYONCE,"Beyonce?, 1981-",4,Parkwood Entertainment/Columbia ;,2011
Compact Disc,39067204650075,,CD M LITTLE,"Little Mix (Musical group), composer, performer.",Salute,,2013
Compact Disc,39067203716372,,CD M SAN80,Santana (Musical group),Supernatural,"Arista Records,",1999
Compact Disc,39067201709759,,CD MA ADE859,"Adele, 1988-",19,XL Recordings ;,2008
Compact Disc,39067203266824,,CD MA FLO6297,Florence + the Machine.,Ceremonials,"Universal Republic,",2011
Compact Disc,39067204221877,,CD ME DEUTER,"Deuter, C. H., 1945-",Ocean waves pure sounds of relaxation,"New Earth Records,",2012
Compact Disc,39067203353879,,CD MR BUF3200,Buffalo Springfield (Musical group),Buffalo Springfield,Atco Records :,1985
Compact Disc,39067051671141,,CD MR MCC1857,"McCartney, Paul.","Good evening, New York City","Hear Music,",2009
Compact Disc,39067204222081,,CD MR MCC510,"McCartney, Paul.","""Driving rain""","Capitol,",2001
Compact Disc,39067204352730,,CD MR MCCARTN,"McCartney, Paul, composer, performer.",New,,2013
Compact Disc,39067202641423,,CD MR ROX7447,Roxy Music (Musical group),Roxy Music,"Virgin Records America, Inc.,",1999
Compact Disc,39067204612893,,CD MR ROXY MU,Roxy Music (Musical group),Manifesto,"Virgin,",1999
Compact Disc,39067204474641,,CD MR ROXY MU,Roxy Music (Musical group),Flesh + blood,"Virgin Records America,",1999
Compact Disc,39067204121382,,CD U RUC7082,"Rucker, Darius.",True believers,"Capitol Records Nashville,",2013
Compact Disc,39067201733411,,CD U RUS8081,"Russell, Tom, 1950 Mar. 5-",The long way around,"Hightone Records,",1997
DVD Action,39067203788736,,DVD AVE8404,,The Avengers,Distributed by Buena Vista Home Entertai,2012
DVD Action,39067203433655,,DVD WAR1706,,Warrior,"Lions Gate Home Entertainment,",2011
DVD Comedy,39067201293119,,DVD SIS334,,The sisterhood of the traveling pants,"Warner Home Video,",2005
DVD Comedy,39067201416652,,DVD SUN33,,Sunshine Cleaning,"Anchor Bay Entertainment,",2009
DVD Drama,39067203107051,,DVD GAR8681,,Garrow's law. Series 2,Twenty Twenty Television ;,2011
DVD Educational,39067204184588,,DVD-ED 641.5686 LIDIA C,,Lidia celebrates America. Freedom and independence,"PBS Distribution,",2013
DVD Educational,39067201417742,,DVD-ED 792.23 LEW9276,,Lewis Black's root of all evil uncensored,"Paramount,",2008
DVD Family,39067203213198,,DVD BEA6713,,Beauty and the beast the enchanted Christmas,"Walt Disney Studios Home Entertainment,",2011
DVD Foreign,39067200791204,,DVD EMP150,,Empress Wu Zetian Wu Zetian,"Cinema Epoch,",2007
DVD Foreign,39067202945436,,DVD MAN1204,,The man from nowhere,"Well Go USA Entertainment,",2010
DVD Foreign,39067203778943,,DVD MYWAY,,My way,"Well Go USA,",2012
DVD Musical,39067202273011,,DVD PIR4229,,The pirates of Penzance,"Universal Studios Home Entertainment,",2010
DVD Suspense,39067201859778,,DVD SPE991,,Spellbound,Metro Goldwyn Mayer ;,2008
DVD Television Series,39067204398378,,DVD BRE8042,,Breaking bad. The complete first season,"Sony Pictures Home Entertainment,",2009
DVD Television Series,39067203321892,,DVD GRE5291,,Green lantern. Emerald knights,Warner Premiere :,2011
Easy,39067042329254,,E BANYAI,"Banyai, Istvan.",Zoom,"Viking,",1995
Easy,39067059350318,,E DEPAOLA,"DePaola, Tomie, 1934-",Pancakes for breakfast,"Harcourt Brace Jovanovich,",1978
Easy,39067036470510,,E JONAS,"Jonas, Ann.",Splash!,"Greenwillow Books,",1995
Easy Non-Fiction,39067057352019,,E 495.1834 KALZ,"Kalz, Jill.",My first Mandarin Chinese phrases,"Picture Window Books,",2012
